id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
MFAP1	-1.252269736	0.00325221	0.000954453	-4.335300199	21.78061875	3.02024545264822	2.48782141913682
KIAA1549L	1.453625831	0.003256532	0.000956629	4.334012925	18.95462196	3.01925645772177	2.48724464991577
ACAA2	-1.202093703	0.003264297	0.000960134	-4.331945837	20.64857605	3.0176681509194	2.48621033411146
MCTS1	-0.697737012	0.003264297	0.00096073	-4.331595337	21.01643961	3.01739864769635	2.48621033411146
RBM34	-1.03933123	0.003270706	0.000963527	-4.329952078	16.34185527	3.01613611101712	2.48535849235198
SEC62	-0.900360106	0.003275312	0.000965797	-4.328622454	18.1091847	3.01511414795769	2.48474732363421
COL9A3	-1.900074716	0.003330329	0.000982948	-4.318947358	16.93745446	3.00746945664437	2.47751286084002
PDLIM5	-1.637162907	0.003348302	0.000989186	-4.315107882	19.08376654	3.00472203885924	2.47517537773418
SLC38A10	1.834941762	0.003370118	0.000997241	4.366952788	21.97333274	3.00119987446458	2.47235489264448
LRRFIP2	-1.13714087	0.003370118	0.00099751	-4.310378102	21.77353955	3.00108274183364	2.47235489264448
CANX	0.734248835	0.003370299	0.000998503	4.309816806	23.76077558	3.00065062595453	2.47233156847886
TPP1	0.60264739	0.003379586	0.001002196	4.307733322	27.91007811	2.99904733496153	2.47113649762995
SETD2	-1.424618543	0.003388885	0.001005898	-4.305653012	19.51990524	2.99744605534672	2.46994316846354
ADGRA3	0.76172951	0.003390172	0.001007243	4.304899035	18.46159808	2.99686574212964	2.46977826735564
PPID	0.986587073	0.003390172	0.00100817	4.304380355	22.36559601	2.99646622995709	2.46977826735564
LDLR	0.37196154	0.003405384	0.001014315	4.300952526	25.78728039	2.99382715198764	2.46783390880904
FAM78B	0.966517674	0.003405384	0.001014592	4.300798775	19.28096359	2.99370856639231	2.46783390880904
SPIN1	-1.181387962	0.003420156	0.001019946	-4.297830629	18.58382526	2.99142282090752	2.46595408447192
ACSS1	-1.674313277	0.003434076	0.001025054	-4.295013811	19.43759839	2.98925325530648	2.46419009763888
RPS23	-0.952937423	0.003456322	0.001032658	-4.290847843	21.48324576	2.98604348613312	2.46138580429821
VIRMA	-0.58911066	0.003471946	0.00103847	-4.287685205	23.12390415	2.98360604513047	2.45942703812815
VPS45	-1.274239315	0.003471946	0.001039381	-4.287190803	19.29606786	2.98322522639191	2.45942703812815
